Personal_ID,Cost Center,Company Code,Anonymized WBSL1 Descp,WBSL1 Value,WBSL4 Value,Fiscal Year,Hours,Work Date,Business Descp,Week,Job level,Business Line Descp,Theme
321,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,22-03-2021,CONSULTING,,,Technology Strategy & Transformation NSE,Endurable Society
286,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,28-01-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,3,,,,,,
329,,,Project 69,LPE05605-01,LPE05605-01-01-01-1000,2021,8,9/3/2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
329,,,Project 69,LPE05605-01,LPE05605-01-01-01-1000,2021,6,17-03-2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
329,,,Project 69,LPE05605-01,LPE05605-01-01-01-1000,2021,8,19-03-2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
329,,,Project 69,LPE05605-01,LPE05605-01-01-01-1000,2021,2,16-03-2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
272,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
329,,,Project 66,LPEX1081-01,LPEX1081-01-01-01-1000,2021,4,18-03-2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
329,,,Project 69,LPE05605-01,LPE05605-01-01-01-1000,2021,8,8/3/2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
329,,,Project 66,LPEX1081-01,LPEX1081-01-01-01-1000,2021,4,11/3/2021,CONSULTING,,,Strategy & Business Design (NSE),Worldclass
298,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,4,11/3/2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Endurable Society
326,,,Project 68,LPE05603-01,LPE05603-01-01-01-1000,2021,0,,,,,,
275,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
326,,,Project 68,LPE05603-01,LPE05603-01-01-01-1000,2021,1,23-03-2021,AUDIT,,,Integrated Services,Sustainability
292,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
311,,,Project 64,LPEX1016-01,LPEX1016-01-01-01-1000,2021,2,23-03-2021,CONSULTING,,,Technology Strategy & Transformation NSE,Worldclass
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,24-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,17-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
274,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,0,,,,,,
290,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,3,23-03-2021,TAX,,,Centralized Tax & Legal,Worldclass
353,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,8/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,3,9/3/2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,3,22-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,23-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,0,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,4,16-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,23-02-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,23-03-2021,CONSULTING,,,Organization Transformation,Endurable Society
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,15-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,17-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
273,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,23-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,18-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
370,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,,,,,,
321,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,23-03-2021,CONSULTING,,,Technology Strategy & Transformation NSE,Endurable Society
342,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,0,,,,,,
371,,,Project 75,LPEX1053-01,LPEX1053-01-01-01-1000,2021,0,,,,,,
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
273,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,1,24-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
363,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,1,,,,,,
290,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,1,24-03-2021,TAX,,,Centralized Tax & Legal,Worldclass
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,24-03-2021,CONSULTING,,,Organization Transformation,Endurable Society
293,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,1,,,,,,
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,0,,,,,,
290,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,2,25-03-2021,TAX,,,Centralized Tax & Legal,Worldclass
363,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,1,,,,,,
304,,,Project 33,LPEX1079-01,LPEX1079-01-01-01-1000,2021,1,16-03-2021,AUDIT,,,Assurance Services,Other
363,,,Project 61,LPEX1041-01,LPEX1041-01-01-01-1000,2021,1,,,,,,
313,,,Project 65,LPE05173-01,LPE05173-01-01-01-1000,2021,4,25-03-2021,RISK ADVISORY (NSE),,,Crisis & Resillience,Endurable Society
358,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
372,,,Project 75,LPEX1053-01,LPEX1053-01-01-01-1000,2021,2,25-03-2021,RISK ADVISORY (NSE),,,Digital / AI Controls / Algorithms,Worldclass
274,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,0,,,,,,
272,,,Project 4,LPEX1012-01,LPEX1012-01-01-01-1003,2021,0,,,,,,
279,,,Project 57,LPE05273-01,LPE05273-01-01-01-1000,2021,2,25-03-2021,RISK ADVISORY (NSE),,,Internal Audit,Sustainability
271,,,Project 55,LPEX1085-01,LPEX1085-01-01-01-1000,2021,3,,,,,,
322,,,Project 63,LPEX1021-01,LPEX1021-01-01-01-1000,2021,8,25-03-2021,CONSULTING,,,Organization Transformation,Endurable Society
